uniprot	log2fc	pvalue	adj_p	gene_name	fraction	description	significant
Q93WG3	-0.32	0.035296344	0.066600796	CJD1	MEM	Chloroplast J-like domain 1 OS=Arabidopsis thaliana OX=3702 GN=CJD1 PE=1 SV=1	False
Q93WI0	-0.15	0.038244394	0.116971932	At5g19370	SOL	Rhodanese-like/PpiC domain-containing protein 12, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=At5g19370 PE=1 SV=1	False
Q93WJ8	0.18	0.02288149	0.049281676	MDAR2	MEM	Monodehydroascorbate reductase 2 OS=Arabidopsis thaliana OX=3702 GN=MDAR2 PE=1 SV=1	True
Q93WK6	-0.15	0.338769492	0.402632675	At1g19530	MEM	DNA polymerase epsilon catalytic subunit A OS=Arabidopsis thaliana OX=3702 GN=At1g19530 PE=1 SV=1	False
Q93WL3	-1.33	0.039049402	0.071830185	CLPT1	MEM	ATP-dependent Clp protease ATP-binding subunit CLPT1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=CLPT1 PE=1 SV=1	False
Q93WN0	-1.07	7.38058e-05	0.016285805	SBP2	SOL	Selenium-binding protein 2 OS=Arabidopsis thaliana OX=3702 GN=SBP2 PE=1 SV=1	True
Q93WX6	-0.45	0.007691202	0.02641328	NFS2	MEM	Cysteine desulfurase 1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=NFS2 PE=1 SV=1	True
Q93XM7	-0.39	0.0317822	0.061570145	BOU	MEM	Mitochondrial carnitine/acylcarnitine carrier-like protein OS=Arabidopsis thaliana OX=3702 GN=BOU PE=1 SV=1	False
Q93XN8	-0.44	0.030241103	0.059527763	SPP3B	MEM	Probable sucrose-phosphatase 3b OS=Arabidopsis thaliana OX=3702 GN=SPP3B PE=2 SV=1	False
Q93XW5	0.55	0.002477447	0.014197783	NSP5	MEM	Nitrile-specifier protein 5 OS=Arabidopsis thaliana OX=3702 GN=NSP5 PE=2 SV=1	True
Q93XX4	-0.66	0.008245231	0.027422645	NTMC2T6.1	MEM	C2 domain-containing protein At1g53590 OS=Arabidopsis thaliana OX=3702 GN=NTMC2T6.1 PE=1 SV=2	True
Q93XX5	-0.19	0.112790318	0.162455119	At5g67130	MEM	PI-PLC X domain-containing protein At5g67130 OS=Arabidopsis thaliana OX=3702 GN=At5g67130 PE=1 SV=1	False
Q93XY1	0.48	0.017171665	0.040908537	MNC6.16	MEM	At5g53620 OS=Arabidopsis thaliana OX=3702 GN=MNC6.16 PE=1 SV=1	True
Q93XY5	0.34	0.049217629	0.084543333	TOM2AH2	MEM	Tetraspanin-18 OS=Arabidopsis thaliana OX=3702 GN=TOM2AH2 PE=1 SV=1	False
Q93XY7	0.18	0.575100927	0.658587608	M3E9.200	SOL	Antitermination NusB domain-containing protein OS=Arabidopsis thaliana OX=3702 GN=M3E9.200 PE=1 SV=1	False
Q93XZ7	0.99	0.001456256	0.010995648	At5g42570	MEM	Endoplasmic reticulum transmembrane protein OS=Arabidopsis thaliana OX=3702 GN=At5g42570 PE=1 SV=1	True
Q93Y07	-0.27	0.00348679	0.01663385	SFR2	MEM	Galactolipid galactosyltransferase SFR2, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=SFR2 PE=1 SV=1	True
Q93Y08	-0.53	0.008926231	0.028582519	ABC1K8	MEM	Protein ACTIVITY OF BC1 COMPLEX KINASE 8, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=ABC1K8 PE=2 SV=1	True
Q93Y09	-0.13	0.140406618	0.244518767	SCPL45	SOL	Serine carboxypeptidase-like 45 OS=Arabidopsis thaliana OX=3702 GN=SCPL45 PE=2 SV=1	False
Q93Y12	-0.46	0.007587538	0.026191048	MDB19.14	MEM	Alpha glucosidase-like protein OS=Arabidopsis thaliana OX=3702 GN=MDB19.14 PE=1 SV=1	True
Q93Y22	1.07	0.002359897	0.013870358	At5g05010	MEM	Coatomer subunit delta OS=Arabidopsis thaliana OX=3702 GN=At5g05010 PE=1 SV=2	True
Q93Y31	0.43	0.00572601	0.022427316	ARL8B	MEM	ADP-ribosylation factor-like protein 8b OS=Arabidopsis thaliana OX=3702 GN=ARL8B PE=2 SV=1	True
Q93Y35	-0.2	0.047030418	0.129650917	RPN7	SOL	26S proteasome non-ATPase regulatory subunit 6 homolog OS=Arabidopsis thaliana OX=3702 GN=RPN7 PE=1 SV=1	False
Q93Y38	-1.28	0.001039931	0.00976055	At5g36290	MEM	GDT1-like protein 3 OS=Arabidopsis thaliana OX=3702 GN=At5g36290 PE=2 SV=1	True
Q93Y40	-0.36	0.00846747	0.027767096	ORP3C	MEM	Oxysterol-binding protein-related protein 3C OS=Arabidopsis thaliana OX=3702 GN=ORP3C PE=2 SV=1	True
Q93YN1	-0.32	0.050217641	0.085864312	CRPK1	MEM	Cold-responsive protein kinase 1 OS=Arabidopsis thaliana OX=3702 GN=CRPK1 PE=1 SV=1	False
Q93YQ3	-0.34	0.023446484	0.091220327	PURU1	SOL	Formyltetrahydrofolate deformylase 1, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=PURU1 PE=1 SV=1	False
Q93YR3	0.35	0.010348623	0.030745039	At4g22670	MEM	FAM10 family protein At4g22670 OS=Arabidopsis thaliana OX=3702 GN=At4g22670 PE=1 SV=1	True
Q93YS4	-0.75	0.021284219	0.046975135	ABCG22	MEM	ABC transporter G family member 22 OS=Arabidopsis thaliana OX=3702 GN=ABCG22 PE=1 SV=1	True
Q93YU5	-0.7	0.013098355	0.07040975	SEC8	SOL	Exocyst complex component SEC8 OS=Arabidopsis thaliana OX=3702 GN=SEC8 PE=1 SV=1	False
Q93YU6	-0.22	0.065044864	0.104850289	At3g56120	MEM	tRNA (guanine(37)-N1)-methyltransferase 1 OS=Arabidopsis thaliana OX=3702 GN=At3g56120 PE=2 SV=1	False
Q93YV7	-0.47	0.005863098	0.022692949	At4g14360	MEM	Probable methyltransferase PMT3 OS=Arabidopsis thaliana OX=3702 GN=At4g14360 PE=2 SV=1	True
Q93YW8	0.52	0.166000485	0.269477966	At4g18970	SOL	GDSL esterase/lipase At4g18970 OS=Arabidopsis thaliana OX=3702 GN=At4g18970 PE=2 SV=1	False
Q93YZ7	0.48	0.000599941	0.007851149	At2g31810	MEM	Acetolactate synthase small subunit 2, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=At2g31810 PE=1 SV=1	True
Q93Z08	0.24	0.047870445	0.131017203	At5g58090	SOL	Glucan endo-1,3-beta-glucosidase 6 OS=Arabidopsis thaliana OX=3702 GN=At5g58090 PE=2 SV=2	False
Q93Z10	-0.24	0.01447718	0.037093551	At5g11580	MEM	AT5g11580/F15N18_170 OS=Arabidopsis thaliana OX=3702 GN=At5g11580 PE=1 SV=1	True
Q93Z11	-0.35	0.052627333	0.08887258	MNJ8.18	MEM	AT5g37360/MNJ8_150 OS=Arabidopsis thaliana OX=3702 GN=MNJ8.18 PE=1 SV=1	False
Q93Z16	0.11	0.121677546	0.172074302	RPN2	MEM	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 OS=Arabidopsis thaliana OX=3702 GN=RPN2 PE=1 SV=1	False
Q93Z18	0.1	0.190894131	0.297262005	CKL3	SOL	Casein kinase 1-like protein 3 OS=Arabidopsis thaliana OX=3702 GN=CKL3 PE=1 SV=1	False
Q93Z25	-0.17	0.196301303	0.303078118	At5g63180	SOL	Probable pectate lyase 22 OS=Arabidopsis thaliana OX=3702 GN=At5g63180 PE=2 SV=1	False
Q93Z30	-0.28	0.003470248	0.041930753	At4g18950	SOL	AT4g18950/F13C5_120 OS=Arabidopsis thaliana OX=3702 GN=At4g18950 PE=1 SV=1	True
Q93Z34	-0.61	0.001795213	0.035479322	At2g24280	SOL	Alpha/beta-Hydrolases superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At2g24280 PE=1 SV=1	True
Q93Z53	-0.35	0.127692184	0.17930545	PKP3	MEM	Plastidial pyruvate kinase 3, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=PKP3 PE=1 SV=1	False
Q93Z70	-0.18	0.014911868	0.037558509	At2g19940	MEM	Probable N-acetyl-gamma-glutamyl-phosphate reductase, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=At2g19940 PE=1 SV=2	True
Q93Z72	-0.05	0.630026802	0.703807752	At5g17000	SOL	AT5g16970/F2K13_120 OS=Arabidopsis thaliana OX=3702 GN=At5g17000 PE=1 SV=1	False
Q93Z83	0.58	1.08502e-06	0.002016619	At5g26280	MEM	AT5g26280/T19G15_130 OS=Arabidopsis thaliana OX=3702 GN=At5g26280 PE=1 SV=1	True
Q93ZA3	0.42	0.066371487	0.156354104	At1g30760	SOL	Berberine bridge enzyme-like 13 OS=Arabidopsis thaliana OX=3702 GN=At1g30760 PE=1 SV=1	False
Q93ZB6	-0.23	0.031008532	0.105747776	HEME1	SOL	Uroporphyrinogen decarboxylase 1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=HEME1 PE=2 SV=2	False
Q93ZC2	-0.42	0.019937774	0.045014999	At5g36230	MEM	ARM repeat superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At5g36230 PE=1 SV=1	True
Q93ZC5	-0.66	0.086570059	0.130990709	AOC4	MEM	Allene oxide cyclase 4, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=AOC4 PE=2 SV=1	False
Q93ZD6	-0.17	0.294817694	0.403089289	At4g24880	SOL	Snurportin-1 OS=Arabidopsis thaliana OX=3702 GN=At4g24880 PE=1 SV=1	False
Q93ZE3	-0.4	0.007258551	0.053616592	At1g26761	SOL	Arabinanase/levansucrase/invertase OS=Arabidopsis thaliana OX=3702 GN=At1g26761 PE=1 SV=1	False
Q93ZE5	0.71	0.118190212	0.219512988	FAHD1	SOL	Probable acylpyruvase FAHD1, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=FAHD1 PE=1 SV=1	False
Q93ZG7	0.04	0.210391429	0.269752697	RH38	MEM	DEAD-box ATP-dependent RNA helicase 38 OS=Arabidopsis thaliana OX=3702 GN=RH38 PE=1 SV=2	False
Q93ZG9	-0.16	0.125389332	0.227426928	FKBP53	SOL	Peptidyl-prolyl cis-trans isomerase FKBP53 OS=Arabidopsis thaliana OX=3702 GN=FKBP53 PE=1 SV=1	False
Q93ZH0	0.13	0.241510619	0.34976913	LYM1	SOL	LysM domain-containing GPI-anchored protein 1 OS=Arabidopsis thaliana OX=3702 GN=LYM1 PE=1 SV=1	False
Q93ZH7	-0.04	0.582041942	0.636268176	IQD2	MEM	Protein IQ-DOMAIN 2 OS=Arabidopsis thaliana OX=3702 GN=IQD2 PE=1 SV=1	False
Q93ZI7	-0.53	0.004784002	0.045351432	MOK9.1	SOL	AT5g35440/MOK9_2 OS=Arabidopsis thaliana OX=3702 GN=MOK9.1 PE=1 SV=1	True
Q93ZK1	-0.42	0.000135732	0.004436412	At3g56060	MEM	AT3g56060/F18O21_20 OS=Arabidopsis thaliana OX=3702 GN=At3g56060 PE=1 SV=1	True
Q93ZM7	-0.2	8.63582e-05	0.016285805	At3g13860	SOL	Chaperonin CPN60-like 2, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=At3g13860 PE=1 SV=2	True
Q93ZN2	0.4	0.032574701	0.108158909	At1g60710	SOL	Probable aldo-keto reductase 4 OS=Arabidopsis thaliana OX=3702 GN=At1g60710 PE=2 SV=1	False
Q93ZN4	-0.42	0.049506482	0.084898273	At4g12830	MEM	AT4g12830/T20K18_180 OS=Arabidopsis thaliana OX=3702 GN=At4g12830 PE=1 SV=1	False
Q93ZN9	-0.02	0.459432696	0.556395757	DAP	SOL	LL-diaminopimelate aminotransferase, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=DAP PE=1 SV=1	False
Q93ZR3	-0.73	0.003783867	0.017416284	PRP39	MEM	Tetratricopeptide repeat (TPR)-like superfamily protein OS=Arabidopsis thaliana OX=3702 GN=PRP39 PE=1 SV=1	True
Q93ZT6	1.04	0.000296926	0.005985544	EIF(ISO)4G1	MEM	Eukaryotic translation initiation factor isoform 4G-1 OS=Arabidopsis thaliana OX=3702 GN=EIF(ISO)4G1 PE=1 SV=1	True
Q93ZV7	-0.11	0.073180609	0.164839377	LA1	SOL	La protein 1 OS=Arabidopsis thaliana OX=3702 GN=LA1 PE=1 SV=1	False
Q93ZV8	-0.12	0.254354636	0.316343366	emb2004	MEM	RNI-like superfamily protein OS=Arabidopsis thaliana OX=3702 GN=emb2004 PE=1 SV=1	False
Q93ZW4	-0.16	0.14912264	0.203910245	At1g33230	MEM	TMPIT-like protein OS=Arabidopsis thaliana OX=3702 GN=At1g33230 PE=1 SV=1	False
Q93ZY3	-0.42	0.021670847	0.047519391	STT3A	MEM	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A OS=Arabidopsis thaliana OX=3702 GN=STT3A PE=2 SV=1	True
Q940B0	-0.26	0.061909734	0.100667283	RPL18C	MEM	60S ribosomal protein L18-3 OS=Arabidopsis thaliana OX=3702 GN=RPL18C PE=2 SV=1	False
Q940B8	-0.53	0.009250418	0.029113169	KIN13A	MEM	Kinesin-like protein KIN-13A OS=Arabidopsis thaliana OX=3702 GN=KIN13A PE=1 SV=1	True
Q940B9	-0.25	0.119096539	0.169697047	At1g10850	MEM	Leucine-rich repeat protein kinase family protein OS=Arabidopsis thaliana OX=3702 GN=At1g10850 PE=1 SV=1	False
Q940G0	-1.63	0.000305339	0.006036747	TMN1	MEM	Transmembrane 9 superfamily member 1 OS=Arabidopsis thaliana OX=3702 GN=TMN1 PE=1 SV=1	True
Q940G5	-0.14	0.205733406	0.264762216	At4g25900	MEM	Glucose-6-phosphate 1-epimerase OS=Arabidopsis thaliana OX=3702 GN=At4g25900 PE=1 SV=1	False
Q940I2	0.01	0.832335856	0.861251209	MED24.18	MEM	Thioredoxin family protein OS=Arabidopsis thaliana OX=3702 GN=MED24.18 PE=1 SV=1	False
Q940J8	0.16	0.278613315	0.341847576	PAE7	MEM	Pectin acetylesterase 7 OS=Arabidopsis thaliana OX=3702 GN=PAE7 PE=2 SV=1	False
Q940J9	-0.93	0.000877825	0.009238533	At1g04430	MEM	Probable methyltransferase PMT8 OS=Arabidopsis thaliana OX=3702 GN=At1g04430 PE=2 SV=1	True
Q940K0	0.1	0.093492831	0.138901499	UNI	MEM	Disease resistance protein UNI OS=Arabidopsis thaliana OX=3702 GN=UNI PE=1 SV=2	False
Q940N7	-0.01	0.419997074	0.519819829	At4g05150	SOL	AT4g05150/C17L7_70 OS=Arabidopsis thaliana OX=3702 GN=At4g05150 PE=1 SV=1	False
Q940P8	0.38	0.003922772	0.017799963	CCT2	MEM	T-complex protein 1 subunit beta OS=Arabidopsis thaliana OX=3702 GN=CCT2 PE=1 SV=1	True
Q940Q1	-0.26	0.819856474	0.861597152	At1g04680	SOL	Probable pectate lyase 1 OS=Arabidopsis thaliana OX=3702 GN=At1g04680 PE=2 SV=2	False
Q940S0	-0.16	0.163269125	0.218405064	TMN2	MEM	Transmembrane 9 superfamily member 2 OS=Arabidopsis thaliana OX=3702 GN=TMN2 PE=2 SV=1	False
Q940S9	-0.41	0.059199682	0.145956481	At3g57890	SOL	TBCC domain-containing protein 1 OS=Arabidopsis thaliana OX=3702 GN=At3g57890 PE=1 SV=1	False
Q940V1	-0.47	0.002032224	0.036641203	DJA5	SOL	AT4g39960/T5J17_130 OS=Arabidopsis thaliana OX=3702 GN=DJA5 PE=1 SV=1	True
Q940Y3	-0.57	0.007950771	0.026848297	ARID3	MEM	AT-rich interactive domain-containing protein 3 OS=Arabidopsis thaliana OX=3702 GN=ARID3 PE=1 SV=1	True
Q940Y8	-0.17	0.098129618	0.195443901	KIN13B	SOL	Kinesin-like protein KIN-13B OS=Arabidopsis thaliana OX=3702 GN=KIN13B PE=1 SV=1	False
Q940Y9	-0.44	0.000991527	0.009642458	At5g43745	MEM	Putative ion channel POLLUX-like 2 OS=Arabidopsis thaliana OX=3702 GN=At5g43745 PE=2 SV=1	True
Q940Z5	0.82	0.010348701	0.030745039	PMAT1	MEM	Phenolic glucoside malonyltransferase 1 OS=Arabidopsis thaliana OX=3702 GN=PMAT1 PE=1 SV=1	True
Q941A4	1.31	0.00077658	0.008720946	OBAP2A	MEM	Oil body-associated protein 2A OS=Arabidopsis thaliana OX=3702 GN=OBAP2A PE=2 SV=1	True
Q941B2	-0.11	0.120776726	0.171303131	At1g09870	MEM	At1g09870/F21M12_26 OS=Arabidopsis thaliana OX=3702 GN=At1g09870 PE=1 SV=1	False
Q941D3	-0.37	0.0625126	0.101507879	PAP8	MEM	Probable plastid-lipid-associated protein 8, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=PAP8 PE=1 SV=1	False
Q941L0	-0.66	0.033864961	0.064489155	CESA3	MEM	Cellulose synthase A catalytic subunit 3 [UDP-forming] OS=Arabidopsis thaliana OX=3702 GN=CESA3 PE=1 SV=2	False
Q941L3	0.23	0.205055483	0.264040544	BON1	MEM	Protein BONZAI 1 OS=Arabidopsis thaliana OX=3702 GN=BON1 PE=1 SV=2	False
Q943Z4	0.72	0.143964108	0.247802908	At3g50560	SOL	AT3g50560/T20E23_160 OS=Arabidopsis thaliana OX=3702 GN=At3g50560 PE=1 SV=1	False
Q943Z6	-0.3	0.018608783	0.082115122	SRP19	SOL	Signal recognition particle 19 kDa protein OS=Arabidopsis thaliana OX=3702 GN=SRP19 PE=1 SV=1	False
Q944A2	-0.22	0.115246182	0.21653461	At1g20220	SOL	Alba DNA/RNA-binding protein OS=Arabidopsis thaliana OX=3702 GN=At1g20220 PE=1 SV=1	False
Q944A3	0.06	0.530786718	0.61919562	At2g47010	SOL	At2g47010/F14M4.16 OS=Arabidopsis thaliana OX=3702 GN=At2g47010 PE=1 SV=1	False
Q944A6	-0.27	0.015955322	0.039173792	SNF4	MEM	Sucrose nonfermenting 4-like protein OS=Arabidopsis thaliana OX=3702 GN=SNF4 PE=1 SV=1	True
Q944A7	0.56	0.008355864	0.027625744	BSK1	MEM	Serine/threonine-protein kinase BSK1 OS=Arabidopsis thaliana OX=3702 GN=BSK1 PE=1 SV=1	True
Q944A9	1.14	0.007857187	0.026693865	NPSN11	MEM	Novel plant SNARE 11 OS=Arabidopsis thaliana OX=3702 GN=NPSN11 PE=1 SV=2	True
Q944G5	-0.45	0.041004888	0.074193618	NPF2.10	MEM	Protein NRT1/ PTR FAMILY 2.10 OS=Arabidopsis thaliana OX=3702 GN=NPF2.10 PE=1 SV=3	False
Q944G6	-0.16	0.54746842	0.632991727	At4g03150	SOL	AT4g03150/F4C21_7 OS=Arabidopsis thaliana OX=3702 GN=At4g03150 PE=1 SV=1	False
Q944G9	-0.34	0.00045554	0.023403654	FBA2	SOL	Fructose-bisphosphate aldolase 2, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=FBA2 PE=1 SV=2	True
Q944H0	-0.36	0.006028871	0.023037129	NMT2	MEM	Phosphomethylethanolamine N-methyltransferase OS=Arabidopsis thaliana OX=3702 GN=NMT2 PE=1 SV=2	True
Q944J2	-0.19	0.003529687	0.041966565	At4g28706	SOL	At4g29227 OS=Arabidopsis thaliana OX=3702 GN=At4g28706 PE=1 SV=1	True
Q944K2	-0.29	0.023740911	0.05053236	OST48	MEM	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit OS=Arabidopsis thaliana OX=3702 GN=OST48 PE=2 SV=1	False
Q944K3	-0.4	0.079247856	0.122496727	HDA2	MEM	Histone deacetylase 2 OS=Arabidopsis thaliana OX=3702 GN=HDA2 PE=2 SV=2	False
Q944L8	0.34	0.146049927	0.249895696	At1g11930	SOL	Pyridoxal phosphate homeostasis protein OS=Arabidopsis thaliana OX=3702 GN=At1g11930 PE=1 SV=1	False
Q944P7	0.66	0.030514352	0.059855394	LAP2	MEM	Leucine aminopeptidase 2, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=LAP2 PE=2 SV=2	False
Q945K7	0.43	0.00493388	0.020478136	IDH5	MEM	Isocitrate dehydrogenase [NAD] catalytic subunit 5, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=IDH5 PE=1 SV=1	True
Q945K9	-0.67	0.043344101	0.124841091	At4g34150	SOL	AT4g34150/F28A23_90 OS=Arabidopsis thaliana OX=3702 GN=At4g34150 PE=1 SV=1	False
Q945M1	-0.18	0.045012986	0.127571129	CIB22	SOL	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9 OS=Arabidopsis thaliana OX=3702 GN=CIB22 PE=1 SV=1	False
Q945P1	0.19	0.015683107	0.076420632	EULS3	SOL	Ricin B-like lectin EULS3 OS=Arabidopsis thaliana OX=3702 GN=EULS3 PE=1 SV=1	False
Q945Q1	0.25	0.095010713	0.191854513	CYS1	SOL	Cysteine proteinase inhibitor 1 OS=Arabidopsis thaliana OX=3702 GN=CYS1 PE=1 SV=2	False
Q945Q5	0.02	0.623609156	0.698423457	At2g30695	SOL	At2g30700/T11J7.9 OS=Arabidopsis thaliana OX=3702 GN=At2g30695 PE=1 SV=1	False
Q948K8	-0.05	0.226038941	0.286768585	RABG3A	MEM	Ras-related protein RABG3a OS=Arabidopsis thaliana OX=3702 GN=RABG3A PE=2 SV=1	False
Q948R9	-0.81	0.002116318	0.013170959	RFC3	MEM	AT3g17170/K14A17_29 OS=Arabidopsis thaliana OX=3702 GN=RFC3 PE=1 SV=1	True
Q949M9	-0.25	0.02035543	0.04568985	GET3A	MEM	ATPase GET3A OS=Arabidopsis thaliana OX=3702 GN=GET3A PE=1 SV=1	True
Q949P2	0.09	0.079457828	0.17209301	CYOP	SOL	Probable cytosolic oligopeptidase A OS=Arabidopsis thaliana OX=3702 GN=CYOP PE=1 SV=1	False
Q949P3	-0.18	0.014284035	0.036893146	At2g17340	MEM	Damage-control phosphatase At2g17340 OS=Arabidopsis thaliana OX=3702 GN=At2g17340 PE=1 SV=1	True
Q949Q7	0.36	0.019006695	0.043526176	SCPL29	MEM	Serine carboxypeptidase-like 29 OS=Arabidopsis thaliana OX=3702 GN=SCPL29 PE=2 SV=1	True
Q949R4	-0.26	0.005998763	0.022957378	LIGB	MEM	Extradiol ring-cleavage dioxygenase OS=Arabidopsis thaliana OX=3702 GN=LIGB PE=2 SV=1	True
Q949R9	-0.1	0.184000432	0.242163435	MPC1	MEM	Mitochondrial pyruvate carrier 1 OS=Arabidopsis thaliana OX=3702 GN=MPC1 PE=3 SV=1	False
Q949S6	-0.75	0.0249719	0.052337364	At1g14345	MEM	NAD(P)-linked oxidoreductase superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At1g14345 PE=1 SV=1	False
Q949S9	-0.47	0.018830236	0.082944567	MOS4	SOL	Pre-mRNA-splicing factor SPF27 homolog OS=Arabidopsis thaliana OX=3702 GN=MOS4 PE=1 SV=1	False
Q949U1	-3.84	3.62455e-06	0.002757313	CYP79F1	MEM	Dihomomethionine N-hydroxylase OS=Arabidopsis thaliana OX=3702 GN=CYP79F1 PE=1 SV=1	True
Q949U7	1.03	0.036590613	0.068500517	PRXIIE	MEM	Peroxiredoxin-2E, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=PRXIIE PE=1 SV=2	False
Q949W8	0.22	0.029602939	0.058778372	XK2	MEM	Xylulose kinase 2 OS=Arabidopsis thaliana OX=3702 GN=XK2 PE=1 SV=1	False
Q949X7	0.07	0.614024207	0.690812094	LYSA1	SOL	Diaminopimelate decarboxylase 1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=LYSA1 PE=1 SV=1	False
Q949X9	0.24	0.020936525	0.086577248	LPR2	SOL	Multicopper oxidase LPR2 OS=Arabidopsis thaliana OX=3702 GN=LPR2 PE=2 SV=1	False
Q949Y0	-0.18	0.143726181	0.198137872	UBP6	MEM	Ubiquitin carboxyl-terminal hydrolase 6 OS=Arabidopsis thaliana OX=3702 GN=UBP6 PE=1 SV=1	False
Q949Y3	0.76	0.011201911	0.032030573	PAP26	MEM	Bifunctional purple acid phosphatase 26 OS=Arabidopsis thaliana OX=3702 GN=PAP26 PE=1 SV=1	True
Q949Y5	-0.59	0.034344203	0.065254688	EGY1	MEM	Probable zinc metalloprotease EGY1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=EGY1 PE=2 SV=1	False
Q94A08	-0.02	0.672923278	0.721610434	RFS2	MEM	Probable galactinol--sucrose galactosyltransferase 2 OS=Arabidopsis thaliana OX=3702 GN=RFS2 PE=2 SV=2	False
Q94A09	0.04	0.201735134	0.260447524	TRM9	MEM	tRNA (carboxymethyluridine(34)-5-O)-methyltransferase OS=Arabidopsis thaliana OX=3702 GN=TRM9 PE=1 SV=1	False
Q94A18	-0.15	0.310199697	0.373646894	ABCG29	MEM	ABC transporter G family member 29 OS=Arabidopsis thaliana OX=3702 GN=ABCG29 PE=2 SV=2	False
Q94A28	-0.1	0.03630674	0.114208205	ACO2	SOL	Aconitate hydratase 2, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=ACO2 PE=1 SV=3	False
Q94A32	-0.7	0.00341812	0.016582151	FAX2	MEM	Protein FATTY ACID EXPORT 2, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=FAX2 PE=2 SV=1	True
Q94A40	-0.53	0.008743024	0.05806024	At1g62020	SOL	Coatomer subunit alpha-1 OS=Arabidopsis thaliana OX=3702 GN=At1g62020 PE=2 SV=2	False
Q94A41	-0.19	0.003248916	0.040850582	AMY3	SOL	Alpha-amylase 3, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=AMY3 PE=1 SV=1	True
Q94A52	-0.37	0.040559808	0.073646404	EIF4A3	MEM	Eukaryotic initiation factor 4A-III homolog OS=Arabidopsis thaliana OX=3702 GN=EIF4A3 PE=1 SV=2	False
Q94A65	0.25	0.018091194	0.042220358	At4g27700	MEM	Rhodanese-like domain-containing protein 14, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=At4g27700 PE=2 SV=1	True
Q94A68	-0.5	0.007681954	0.026401538	At1g06690	MEM	Uncharacterized oxidoreductase At1g06690, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=At1g06690 PE=1 SV=1	True
Q94A78	-1.51	8.79037e-05	0.00412232	At1g03400	MEM	1-aminocyclopropane-1-carboxylate oxidase homolog 4 OS=Arabidopsis thaliana OX=3702 GN=At1g03400 PE=2 SV=1	True
Q94A94	-0.36	0.142966759	0.197178701	LYSA2	MEM	Diaminopimelate decarboxylase 2, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=LYSA2 PE=1 SV=1	False
Q94A97	0.28	0.000232272	0.005244668	UBC35	MEM	Ubiquitin-conjugating enzyme E2 35 OS=Arabidopsis thaliana OX=3702 GN=UBC35 PE=1 SV=1	True
Q94A98	-0.43	0.017837751	0.080824591	At1g65900	SOL	At1g65900/F12P19_7 OS=Arabidopsis thaliana OX=3702 GN=At1g65900 PE=1 SV=1	False
Q94AA3	-0.45	0.093668335	0.190125485	PTAC13	SOL	AT3g09210/F3L24_8 OS=Arabidopsis thaliana OX=3702 GN=PTAC13 PE=1 SV=1	False
Q94AA4	-0.36	0.000772121	0.008686831	PFK3	MEM	ATP-dependent 6-phosphofructokinase 3 OS=Arabidopsis thaliana OX=3702 GN=PFK3 PE=1 SV=1	True
Q94AB8	-1.07	0.014327348	0.036963923	At1g05070	MEM	At1g05070/T7A14_6 OS=Arabidopsis thaliana OX=3702 GN=At1g05070 PE=1 SV=1	True
Q94AD1	0.19	0.086531179	0.181539581	At1g48610	SOL	Putative DNA-binding protein At1g48610 OS=Arabidopsis thaliana OX=3702 GN=At1g48610 PE=1 SV=1	False
Q94AF2	0.13	0.371515892	0.476070805	At5g19150	SOL	ATP-dependent (S)-NAD(P)H-hydrate dehydratase OS=Arabidopsis thaliana OX=3702 GN=At5g19150 PE=1 SV=1	False
